Code => Location
albuquerque/nm => Albuquerque, NM
anchorage/ak => Anchorage, AK
atlanta/ga => Atlanta, GA
austin/tx => Austin, TX
baltimore/md => Baltimore, MD
boston/ma => Boston, MA
bryceville/fl => Bryceville, FL
charlotte/nc => Charlotte, NC
chicago/il => Chicago, IL
cincinnati/oh => Cincinnati, OH
cleveland/oh => Cleveland, OH
colorado-springs/co => Colorado Springs, CO
columbus/oh => Columbus, OH
corpus-christi/tx => Corpus Christi, TX
cropseyville/ny => Cropseyville, NY
dallas/tx => Dallas, TX
daly-city/ca => Daly City, CA
denver/co => Denver, CO
des-moines/ia => Des Moines, IA
detroit/mi => Detroit, MI
el-paso/tx => El Paso, TX
fort-lauderdale/fl => Fort Lauderdale, FL
fort-worth/tx => Fort Worth, TX
fresno/ca => Fresno, CA
gatlinburg/tn => Gatlinburg, TN
honolulu/hi => Honolulu, HI
houston/tx => Houston, TX
indianapolis/in => Indianapolis, IN
jacksonville/fl => Jacksonville, FL
keystone-heights/fl => Keystone Heights, FL
las-vegas/nv => Las Vegas, NV
los-angeles/ca => Los Angeles, CA
louisville/ky => Louisville, KY
memphis/tn => Memphis, TN
mesa/az => Mesa, AZ
miami/fl => Miami, FL
milwaukee/wi => Milwaukee, WI
minneapolis/mn => Minneapolis, MN
mount-orab/oh => Mount Orab, OH
nashville/tn => Nashville, TN
new-orleans/la => New Orleans, LA
new-york/ny => New York, NY
nipomo/ca => Nipomo, CA
north-billerica/ma => North Billerica, MA
ocean-shores/wa => Ocean Shores, WA
ocracoke/nc => Ocracoke, NC
oklahoma-city/ok => Oklahoma City, OK
omaha/ne => Omaha, NE
orlando/fl => Orlando, FL
philadelphia/pa => Philadelphia, PA
phoenix/az => Phoenix, AZ
pittsburgh/pa => Pittsburgh, PA
portland/or => Portland, OR
raleigh/nc => Raleigh, NC
rapid-city/sd => Rapid City, SD
richmond/va => Richmond, VA
sacramento/ca => Sacramento, CA
saint-louis/mo => Saint Louis, MO
saint-paul/mn => Saint Paul, MN
salt-lake-city/ut => Salt Lake City, UT
san-antonio/tx => San Antonio, TX
san-diego/ca => San Diego, CA
san-francisco/ca => San Francisco, CA
seattle/wa => Seattle, WA
sioux-falls/sd => Sioux Falls, SD
tampa/fl => Tampa, FL
tucson/az => Tucson, AZ
tulsa/ok => Tulsa, OK
wichita/ks => Wichita, KS
